game_name,detail_url,game_pic,game_url,game_rate,game_label,game_price
天命奇御,youxi1,https://wegame.gtimg.com/g.2000472-r.6dc85/info/95a3d577e2da5f5b2c4de119cbbe0124.jpg/320,https://www.wegame.com.cn/store/2000472,推荐率 91.7%,"角色扮演
休闲",58
古剑奇谭三,youxi1,https://wegame.gtimg.com/g.2000681-r.2b6ae/info/b2a6d09fa56d92d6fd97e5d6c42269b0.jpg/320,https://www.wegame.com.cn/store/2000681,推荐率 91.3%,角色扮演,99
落日山丘,youxi1,https://wegame.gtimg.com/g.2008080-r.283bc/info/1b922c8a10af4bc59019a36b64a79da7.jpg/320,https://www.wegame.com.cn/store/2008080,无,"角色扮演
解谜
休闲",
彩虹坠入,youxi1,https://wegame.gtimg.com/g.2000800-r.f13f1/info/090558222a8a01771d6f9c539aec9caf.jpg/320,https://www.wegame.com.cn/store/2000800,推荐率 89.2%,"解谜
冒险",48
废土快递,youxi1,https://wegame.gtimg.com/g.2001520-r.76051/info/9b6c43fafc4466db4ad54637bb216f48.jpg/320,https://www.wegame.com.cn/store/2001520,期待值 8.9/10,"模拟经营
策略",
山海旅人,youxi1,https://wegame.gtimg.com/g.2008033-r.cdf39/info/76251e93c3920c1cab861caa226c972c.jpg/320,https://www.wegame.com.cn/store/2008033,期待值 8.9/10,"
解谜",
仙剑奇侠传五-前传,youxi1,https://wegame.gtimg.com/g.2000157-r.a8401/info/eb144c3e73a1b0265f45d3b781723838.jpg/320,https://www.wegame.com.cn/store/2000157,推荐率 88.9%,"休闲
角色扮演
",30
重塑火星,youxi1,https://wegame.gtimg.com/g.2001648-r.f6192/info/f0e328e2578baca08b727d95f76b87b1.jpg/320,https://www.wegame.com.cn/store/2001648,无,"模拟经营
策略",
初体计划Ⅱ,youxi1,https://wegame.gtimg.com/g.2001233-r.db384/info/e36a5b969f8dc3e3f5d95f5b42a25802.jpg/320,https://www.wegame.com.cn/store/2001233,推荐率 85.1%,"角色扮演
冒险",48
再战Online,youxi1,https://wegame.gtimg.com/g.2001136-r.3a0ca/info/29d3e116edecd23bb3c8ca1511189213.jpg/320,https://www.wegame.com.cn/store/2001136,无,冒险,
再战孤舰绝境,youxi1,https://wegame.gtimg.com/g.2001247-r.865ac/info/b06b31134d97cc2df978a7504f7ba939.jpg/320,https://www.wegame.com.cn/store/2001247,无,冒险,
天神镇,youxi1,https://wegame.gtimg.com/g.2001525-r.799dc/info/96905bb9b7c4cd23d6a78c62ba961493.jpg/320,https://www.wegame.com.cn/store/2001525,无,"模拟经营
",
我的侠客,youxi1,https://wegame.gtimg.com/g.2001713-r.75766/info/c2a85ea1b504efcfed3c4afcff3140b9.jpg/320,https://www.wegame.com.cn/store/2001713,期待值 8.5/10,"策略
",
可控,youxi1,https://wegame.gtimg.com/g.2008096-r.318a7/info/a2e3ac4bd8cb1d17677ebd4fe4af95ba.png/320,https://www.wegame.com.cn/store/2008096,五百,休闲,
同步音律,youxi1,https://wegame.gtimg.com/g.2001472-r.42eba/info/8ccb826402b4e14c12556f2c87ad742d.jpg/320,https://www.wegame.com.cn/store/2001472,推荐率 84.3%,休闲,12
改变：一个小故事,youxi1,https://wegame.gtimg.com/g.2001378-r.08d68/info/2581afc1ff835bb8326bfe14e7690066.jpg/320,https://www.wegame.com.cn/store/2001378,推荐率 84.1%,休闲,6
牧野之歌,youxi1,https://wegame.gtimg.com/g.2001741-r.04d49/info/a72659a5766a5c67fdf65342b7b34983.png/320,https://www.wegame.com.cn/store/2001741,期待值 8.4/10,"模拟经营
角色扮演
",
反图灵测试,youxi1,https://wegame.gtimg.com/g.2008057-r.45fd8/info/ac8a10344f8efd93c369568d6ebf92d2.jpg/320,https://www.wegame.com.cn/store/2008057,无,策略,
力力普的工坊,youxi1,https://wegame.gtimg.com/g.2008085-r.4bf69/info/c9a7f96d626a6dffe232277e1ef8c0ef.png/320,https://www.wegame.com.cn/store/2008085,无,"解谜
休闲",
